# Manually converted from free_period.txt captured by Tek scope
# s?\([\-0-9\.]\+\)\s\([\-0-9\.]\+\)?\1,\2?g
7.16,-2.344
7.162,-2.344
7.164,-2.352
7.166,-2.352
7.168,-2.36
7.17,-2.36
7.172,-2.36
7.174,-2.36
7.176,-2.36
7.178,-2.36
7.18,-2.368
7.182,-2.376
7.184,-2.368
7.186,-2.376
7.188,-2.376
7.19,-2.376
7.192,-2.376
7.194,-2.376
7.196,-2.376
7.198,-2.376
7.2,-2.376
7.202,-2.384
7.204,-2.384
7.206,-2.384
7.208,-2.392
7.21,-2.392
7.212,-2.392
7.214,-2.392
7.216,-2.392
7.218,-2.392
7.22,-2.392
7.222,-2.392
7.224,-2.392
7.226,-2.392
7.228,-2.4
7.23,-2.4
7.232,-2.4
7.234,-2.4
7.236,-2.408
7.238,-2.408
7.24,-2.4
7.242,-2.408
7.244,-2.4
7.246,-2.408
7.248,-2.408
7.25,-2.408
7.252,-2.408
7.254,-2.408
7.256,-2.416
7.258,-2.416
7.26,-2.424
7.262,-2.416
7.264,-2.424
7.266,-2.424
7.268,-2.424
7.27,-2.424
7.272,-2.424
7.274,-2.432
7.276,-2.424
7.278,-2.424
7.28,-2.432
7.282,-2.424
7.284,-2.432
7.286,-2.432
7.288,-2.424
7.29,-2.432
7.292,-2.432
7.294,-2.44
7.296,-2.424
7.298,-2.44
7.3,-2.44
7.302,-2.44
7.304,-2.44
7.306,-2.448
7.308,-2.448
7.31,-2.448
7.312,-2.448
7.314,-2.448
7.316,-2.448
7.318,-2.44
7.32,-2.448
7.322,-2.448
7.324,-2.448
7.326,-2.456
7.328,-2.456
7.33,-2.456
7.332,-2.456
7.334,-2.456
7.336,-2.456
7.338,-2.456
7.34,-2.456
7.342,-2.464
7.344,-2.464
7.346,-2.464
7.348,-2.456
7.35,-2.456
7.352,-2.464
7.354,-2.456
7.356,-2.464
7.358,-2.472
7.36,-2.472
7.362,-2.464
7.364,-2.472
7.366,-2.472
7.368,-2.48
7.37,-2.48
7.372,-2.472
7.374,-2.48
7.376,-2.472
7.378,-2.48
7.38,-2.48
7.382,-2.48
7.384,-2.48
7.386,-2.488
7.388,-2.48
7.39,-2.48
7.392,-2.48
7.394,-2.488
7.396,-2.48
7.398,-2.48
7.4,-2.488
7.402,-2.48
7.404,-2.48
7.406,-2.488
7.408,-2.48
7.41,-2.488
7.412,-2.488
7.414,-2.488
7.416,-2.488
7.418,-2.488
7.42,-2.488
7.422,-2.48
7.424,-2.48
7.426,-2.48
7.428,-2.488
7.43,-2.48
7.432,-2.48
7.434,-2.488
7.436,-2.488
7.438,-2.488
7.44,-2.488
7.442,-2.488
7.444,-2.488
7.446,-2.496
7.448,-2.496
7.45,-2.496
7.452,-2.504
7.454,-2.496
7.456,-2.496
7.458,-2.504
7.46,-2.504
7.462,-2.512
7.464,-2.504
7.466,-2.504
7.468,-2.504
7.47,-2.512
7.472,-2.504
7.474,-2.504
7.476,-2.504
7.478,-2.504
7.48,-2.504
7.482,-2.512
7.484,-2.504
7.486,-2.504
7.488,-2.504
7.49,-2.512
7.492,-2.504
7.494,-2.512
7.496,-2.512
7.498,-2.504
7.5,-2.512
7.502,-2.504
7.504,-2.504
7.506,-2.504
7.508,-2.512
7.51,-2.512
7.512,-2.512
7.514,-2.504
7.516,-2.512
7.518,-2.504
7.52,-2.504
7.522,-2.512
7.524,-2.504
7.526,-2.512
7.528,-2.504
7.53,-2.504
7.532,-2.512
